31.5	32.1	32.4	32.8	33.1	33.6	34.5	35.3	35.8	36.1	36.6	36.9	37.4
34.6	35.1	35.4	35.8	36.1	36.5	37.3	38.1	38.5	38.8	39.2	39.5	40
36.4	36.9	37.2	37.6	37.9	38.3	39.1	39.9	40.3	40.6	41.1	41.3	41.9
37.8	38.3	38.6	39	39.3	39.7	40.5	41.3	41.7	42	42.5	42.7	43.3
38.9	39.4	39.7	40.1	40.4	40.8	41.6	42.4	42.9	43.2	43.6	43.9	44.4
39.7	40.3	40.6	41	41.3	41.7	42.6	43.4	43.8	44.1	44.5	44.8	45.4
40.5	41	41.3	41.8	42.1	42.5	43.3	44.2	44.6	44.9	45.3	45.6	46.2
41.1	41.7	42	42.4	42.7	43.1	44	44.8	45.3	45.6	46	46.3	46.8
41.6	42.2	42.5	42.9	43.2	43.7	44.5	45.4	45.8	46.1	46.6	46.9	47.4
42.1	42.6	42.9	43.4	43.7	44.2	45	45.8	46.3	46.6	47.1	47.4	47.9
42.5	43	43.3	43.8	44.1	44.6	45.4	46.3	46.7	47	47.5	47.8	48.4
42.8	43.4	43.7	44.1	44.4	44.9	45.8	46.6	47.1	47.4	47.9	48.2	48.7
43.1	43.6	44	44.4	44.7	45.2	46.1	46.9	47.4	47.7	48.2	48.5	49.1